Species;SRR7048708_S53;SRR7049045_VS.B1;SRR7049060_MP79;SRR7049061_MP78;SRR7049072_MP74;SRR7049073_S47;SRR7049084_MP45;SRR7049085_MP44;SRR7049086_MP47;SRR7049087_MP46;SRR7049088_MP41;SRR7049090_MP43;SRR7049091_MP42;SRR7049096_MP49;SRR7049097_MP48;SRR7049154_FP55;SRR7049155_FP58;SRR7049156_FP57;SRR7049157_FP60;SRR7049158_FP59;SRR7049159_AS.B5;SRR7049160_AS.B4;SRR7049161_S54;SRR7049162_S55;SRR7049164_S57;SRR7049165_S58;SRR7049166_S59;SRR7049167_S60;SRR7049168_S61;SRR7049169_S62;SRR7049170_S63;SRR7049173_FP73;SRR7049174_FP74;SRR7049183_FP76;SRR7049184_FP75;SRR7049187_FP80;SRR7049188_FP79;SRR7049201_FP64;SRR7049202_FP63;SRR7049225_FP62;SRR7049226_FP61;SRR7049247_VS.B4;SRR7049248_VS.B3;SRR7049253_MP71;SRR7049255_MP70;SRR7049256_MP73;SRR7049257_MP72
Thermodesulfatator indicus;24.02365;110.61947;0;0;0;12.35254;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61.01281;143.06152;18.84028;34.51166;31.28096;21.46383;27.78357;20.47185;14.09336;28.23391;26.88851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thermodesulfobacterium commune;22.00039;0;0;0;0;5.42035;0;0;0;103.78827;0;81.23477;107.06638;0;0;111.23471;0;0;0;0;160.64257;0;16.53439;19.4704;6.86318;0;32.00293;26.2211;23.19093;17.84042;34.3239;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131.31976;0
Thermodesulfobacterium geofontis;22.26147;0;0;0;0;23.40139;0;0;90.62075;0;0;0;0;0;0;0;0;0;0;0;0;101.62602;23.79465;49.03678;3.70384;0;44.41155;20.43993;31.19236;32.0932;29.52192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thermodesulfobium narugense;28.10245;135.318;0;273.78508;0;25.1775;445.4343;231.21387;390.0156;192.86403;78.77117;150.9434;497.26504;354.60993;0;103.35917;146.95077;122.24939;649.35065;329.48929;74.62687;0;15.3602;24.11818;35.06703;26.25016;33.97749;20.97613;25.85333;60.77054;20.92582;0;543.47826;348.5535;267.45119;119.33174;210.74816;303.85901;372.67081;303.14513;188.7386;0;0;318.7251;199.50125;122.02563;102.14505
Thermogutta terrifontis;10.08405;106.80908;0;0;0;13.91291;0;0;0;38.05899;0;0;0;0;0;81.5827;0;0;0;0;58.91016;138.12155;8.08391;23.79876;8.80824;0;23.46985;6.67707;16.61521;19.62564;12.19287;0;0;27.5141;0;0;41.59734;0;0;0;0;0;0;0;0;0;0
Thermomicrobium roseum;21.79757;0;0;0;0;4.77373;0;0;0;0;0;0;0;0;0;0;0;0;0;0;282.9855;0;4.8539;0;24.17758;0;16.10565;15.39527;19.79582;6.54669;14.16986;0;0;0;0;0;0;0;0;0;0;0;590.84195;0;0;0;0
Thermomonospora curvata;6.02202;159.4533;0;0;0;13.56507;0;0;0;0;0;0;33.48401;0;0;34.80077;0;0;36.44979;0;50.25757;117.85504;6.03448;0;3.22049;8.839;5.72074;3.4178;7.36641;8.83659;7.71759;0;0;0;0;0;0;0;0;0;0;95.37434;0;0;0;0;0
Thermosediminibacter oceani;26.59603;0;0;0;0;12.58099;0;0;0;0;0;0;0;0;0;86.05852;0;0;0;0;0;0;21.3206;40.17073;13.27492;0;28.29755;14.65177;19.59891;20.70453;17.01252;192.30769;0;0;0;99.3542;0;0;0;63.11139;0;0;0;0;83.09098;101.5744;0
Thermosipho africanus;57.73325;0;0;0;0;16.59476;0;0;73.4484;0;0;0;0;0;0;0;0;0;0;103.41262;0;164.74465;19.28408;39.74112;36.02089;0;47.98848;28.67082;31.20923;52.01899;28.14787;108.69565;0;131.27667;0;0;0;0;0;71.35212;0;266.66667;293.68576;0;0;0;0
Thermosipho melanesiensis;48.12563;0;109.17031;0;0;19.96955;0;0;77.33952;0;0;149.64459;0;0;0;0;0;0;214.59227;0;73.99186;173.46054;48.2258;35.86801;31.60656;0;54.74145;32.87245;35.16221;39.7108;27.66252;0;0;0;53.03633;0;0;0;0;0;0;0;0;0;0;120.91898;0
Thermosipho sp;35.39293;0;0;0;0;18.78136;158.22785;0;0;0;0;0;0;0;0;0;0;0;0;0;159.04573;0;10.91286;25.70199;16.98629;55.94406;36.20893;24.51687;25.43172;22.07765;22.83093;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thermosulfidibacter takaii;40.05554;0;0;0;0;15.78989;0;120.84592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.75872;25.20955;18.32692;82.31582;8.87863;14.85254;30.83394;28.87274;24.99727;0;0;72.85974;0;0;0;0;0;79.20792;0;0;0;0;0;0;0
Thermosynechococcus elongatus;21.50799;0;0;0;0;0;0;84.63817;0;0;0;0;0;0;0;0;0;0;0;0;109.25977;256.246;29.98613;26.48305;11.66888;0;18.65498;11.39308;23.77908;36.39912;14.95428;0;0;0;0;87.33624;0;0;0;0;0;207.46888;228.3105;0;0;0;0
Thermotoga caldifontis;14.44582;127.46973;0;0;0;18.98164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140.64698;0;33.77645;11.36428;12.01724;49.47434;8.00512;19.13033;23.11482;6.508;14.08616;0;0;0;0;0;0;0;0;0;0;534.04539;0;0;0;0;0
Thermotoga maritima;7.82146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110.43622;0;76.16146;0;20.90028;0;3.2533;0;0;4.14313;10.82387;12.68508;4.06756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
